"TOA5","CR1000","CR1000","83924","CR1000.Std.31","CPU:loggernet-config.CR1","32178","OneHour"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WS_ms_WVc","SlrkW_Avg","AirTC_Avg","RH","Rain_mm_Tot","Visibility_m","BP_mmHg"
"TS","RN","meters/second","Deg","Deg","kW/m^2","Deg C","%","mm","meters","mmHg"
"","","WVc","WVc","WVc","Avg","Avg","Smp","Tot","Smp","Smp"
"2018-01-08 10:00:00",0,1.775,64.76,25.31,0.468,11.14,43.75,0,23480,800
"2018-01-08 11:00:00",0,1.409,50.98,41.76,0.534,12.16,41.51,0,17656,800
"2018-01-08 12:00:00",1,1.462,53.48,35.07,0.573,12.61,45.09,0,18022,800
"2018-01-08 13:00:00",2,1.128,82.5,49.99,0.566,13.78,42.14,0,18284,800
"2018-01-08 14:00:00",3,1.017,114.1,48.25,0.487,14.67,44.87,0,16694,800
"2018-01-08 15:00:00",4,1.275,147.4,49.58,0.365,14.62,45.97,0,16944,800
"2018-01-08 16:00:00",5,1.394,150.3,47.73,0.198,13.74,64.11,0,12354,800
"2018-01-08 17:00:00",6,1.127,184.8,44.73,0.044,11.42,71.99,0,11589,800
"2018-01-08 18:00:00",7,0.353,276.3,15.14,0,9.34,73.74,0,13548,800
"2018-01-08 19:00:00",8,0.349,223.4,5.061,0,8.86,74.1,0,12038,800
"2018-01-08 20:00:00",9,0.242,231.4,0.709,0,8.31,80.1,0,11342,800
"2018-01-08 21:00:00",10,0.24,315.6,5.034,0,8.23,78.37,0,8422,800
"2018-01-09 08:00:00",11,1.721,197.2,30.2,0.178,8.49,63.44,0,19001,801
"2018-01-09 09:00:00",12,0.871,225.3,39.14,0.269,11.21,37.55,0,33043,800
"2018-01-09 10:00:00",13,0.635,163.1,51.14,0.419,13.57,37.62,0,25231,800
"2018-01-09 11:00:00",14,1.462,164.9,64.73,0.529,13.68,59.3,0,14613,800
"2018-01-09 12:00:00",15,2.196,164.8,52.61,0.583,12.5,56.16,0,13967,800
"2018-01-09 13:00:00",16,1.576,208.1,61.38,0.577,14.21,52.12,0,16973,800
"2018-01-09 14:00:00",17,1.98,237,51.63,0.513,14.46,46.39,0,25685,800
"2018-01-09 15:00:00",18,1.593,232.1,65.27,0.378,14.36,67.05,0,11089,800
"2018-01-09 16:00:00",19,1.7,233.5,52.44,0.216,13.25,67.15,0,15184,800
